CustomerKey,GeographyKey,CustomerAlternateKey,FirstName,MiddleName,LastName,FullNAME,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,City
11014,634,AW00011014,Sydney,NULL,Bennett,Sydney Bennett,1973-11-06,Single,Female,sydney23@adventure-works.com,100000.00,3,0,Bachelors,Management,0,3,9011 Tank Drive,NULL,431-555-0156,2013-03-23,1-2 Miles,Redmond
11015,301,AW00011015,Chloe,NULL,Young,Chloe Young,1984-08-26,Single,Female,chloe23@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,NULL,208-555-0142,2013-01-18,5-10 Miles,Burbank
11016,329,AW00011016,Wyatt,L,Hill,Wyatt Hill,1984-10-25,Married,Male,wyatt32@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,NULL,135-555-0171,2013-02-09,5-10 Miles,Imperial Beach
11017,39,AW00011017,Shannon,NULL,Wang,Shannon Wang,1949-12-24,Single,Female,shannon1@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,NULL,1 (11) 500 555-0195,2011-01-12,5-10 Miles,Sunbury
11018,32,AW00011018,Clarence,D,Rai,Clarence Rai,1955-10-06,Single,Male,clarence32@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,244 Rivewview,NULL,1 (11) 500 555-0137,2011-01-17,5-10 Miles,Bendigo
11019,52,AW00011019,Luke,L,Lal,Luke Lal,1983-09-04,Single,Male,luke18@adventure-works.com,40000.00,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,NULL,262-555-0112,2013-02-12,5-10 Miles,Langley
11020,53,AW00011020,Jordan,C,King,Jordan King,1984-03-19,Single,Male,jordan73@adventure-works.com,40000.00,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,NULL,550-555-0163,2012-12-29,1-2 Miles,Metchosin
11021,536,AW00011021,Destiny,NULL,Wilson,Destiny Wilson,1984-03-02,Single,Female,destiny7@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,NULL,622-555-0158,2013-01-23,1-2 Miles,Beaverton
11022,609,AW00011022,Ethan,G,Zhang,Ethan Zhang,1984-04-10,Married,Male,ethan20@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,NULL,589-555-0185,2013-01-20,5-10 Miles,Bellingham
11023,298,AW00011023,Seth,M,Edwards,Seth Edwards,1984-04-09,Married,Male,seth46@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,NULL,452-555-0188,2013-02-17,1-2 Miles,Bellflower
11024,311,AW00011024,Russell,NULL,Xie,Russell Xie,1984-03-16,Married,Male,russell7@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,NULL,746-555-0186,2013-06-27,5-10 Miles,Concord
11025,24,AW00011025,Alejandro,NULL,Beck,Alejandro Beck,1951-06-22,Married,Male,alejandro45@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,NULL,1 (11) 500 555-0178,2011-01-06,1-2 Miles,Hawthorne
11026,4,AW00011026,Harold,NULL,Sai,Harold Sai,1951-10-01,Single,Male,harold3@adventure-works.com,30000.00,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,NULL,1 (11) 500 555-0131,2011-01-23,1-2 Miles,Goulburn
11027,40,AW00011027,Jessie,R,Zhao,Jessie Zhao,1952-06-05,Married,Male,jessie16@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,213 Valencia Place,NULL,1 (11) 500 555-0184,2011-01-16,5-10 Miles,Warrnambool
11028,17,AW00011028,Jill,NULL,Jimenez,Jill Jimenez,1951-10-09,Married,Female,jill13@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,NULL,1 (11) 500 555-0116,2011-01-26,1-2 Miles,St. Leonards
11029,32,AW00011029,Jimmy,L,Moreno,Jimmy Moreno,1952-06-19,Married,Male,jimmy9@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,6385 Mark Twain,NULL,1 (11) 500 555-0146,2011-01-19,1-2 Miles,Bendigo
11030,28,AW00011030,Bethany,G,Yuan,Bethany Yuan,1958-02-18,Married,Female,bethany10@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,NULL,1 (11) 500 555-0182,2011-02-05,1-2 Miles,Cloverdale
11031,8,AW00011031,Theresa,G,Ramos,Theresa Ramos,1953-02-18,Married,Female,theresa13@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,NULL,1 (11) 500 555-0195,2011-02-01,1-2 Miles,Matraville
11032,35,AW00011032,Denise,NULL,Stone,Denise Stone,1952-12-08,Married,Female,denise10@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,626 Bentley Street,NULL,1 (11) 500 555-0169,2011-02-18,1-2 Miles,Melbourne
11033,9,AW00011033,Jaime,NULL,Nath,Jaime Nath,1958-09-19,Married,Male,jaime41@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,NULL,1 (11) 500 555-0137,2011-02-15,5-10 Miles,Milsons Point
11034,12,AW00011034,Ebony,NULL,Gonzalez,Ebony Gonzalez,1952-12-16,Married,Female,ebony19@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,5167 Condor Place,NULL,1 (11) 500 555-0136,2011-02-01,5-10 Miles,North Sydney
11035,33,AW00011035,Wendy,NULL,Dominguez,Wendy Dominguez,1953-08-23,Married,Female,wendy12@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,NULL,1 (11) 500 555-0177,2011-02-06,1-2 Miles,Cranbourne
11036,343,AW00011036,Jennifer,C,Russell,Jennifer Russell,1984-06-16,Married,Female,jennifer93@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,NULL,115-555-0183,2013-01-22,1-2 Miles,National City
11037,49,AW00011037,Chloe,M,Garcia,Chloe Garcia,1983-05-27,Single,Female,chloe27@adventure-works.com,40000.00,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,NULL,229-555-0112,2013-01-20,5-10 Miles,Cliffside
11038,6,AW00011038,Diana,F,Hernandez,Diana Hernandez,1953-09-20,Married,Female,diana2@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,NULL,1 (11) 500 555-0114,2011-02-07,5-10 Miles,Lavender Bay
11039,19,AW00011039,Marc,J,Martin,Marc Martin,1954-06-16,Married,Male,marc3@adventure-works.com,30000.00,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,NULL,1 (11) 500 555-0183,2011-02-07,5-10 Miles,Wollongong
11040,642,AW00011040,Jesse,NULL,Murphy,Jesse Murphy,1983-01-29,Married,Male,jesse15@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,NULL,961-555-0176,2013-04-03,1-2 Miles,Tacoma
11041,325,AW00011041,Amanda,M,Carter,Amanda Carter,1983-04-15,Married,Female,amanda53@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,NULL,295-555-0145,2013-01-14,1-2 Miles,Glendale
11042,338,AW00011042,Megan,J,Sanchez,Megan Sanchez,1982-12-11,Married,Female,megan28@adventure-works.com,70000.00,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,NULL,404-555-0199,2013-01-21,0-1 Miles,Los Angeles
11043,325,AW00011043,Nathan,M,Simmons,Nathan Simmons,1981-08-23,Married,Male,nathan11@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,NULL,296-555-0181,2013-05-08,5-10 Miles,Glendale
11044,25,AW00011044,Adam,L,Flores,Adam Flores,1954-11-21,Married,Male,adam10@adventure-works.com,20000.00,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,NULL,1 (11) 500 555-0163,2011-02-28,1-2 Miles,Hervey Bay
11045,8,AW00011045,Leonard,G,Nara,Leonard Nara,1955-11-16,Single,Male,leonard18@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,NULL,1 (11) 500 555-0151,2013-04-10,1-2 Miles,Matraville
11046,6,AW00011046,Christine,NULL,Yuan,Christine Yuan,1955-09-19,Married,Female,christine4@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,2356 Orange St,NULL,1 (11) 500 555-0113,2011-02-06,5-10 Miles,Lavender Bay
11047,34,AW00011047,Jaclyn,D,Lu,Jaclyn Lu,1955-08-27,Married,Female,jaclyn12@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,NULL,1 (11) 500 555-0137,2011-02-03,1-2 Miles,Geelong
11048,39,AW00011048,Jeremy,NULL,Powell,Jeremy Powell,1956-05-21,Married,Male,jeremy26@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,NULL,1 (11) 500 555-0183,2011-02-10,5-10 Miles,Sunbury
11049,307,AW00011049,Carol,C,Rai,Carol Rai,1986-01-15,Single,Female,carol8@adventure-works.com,40000.00,0,0,Partial High School,Clerical,1,2,6064 Madrid,NULL,654-555-0180,2013-03-09,5-10 Miles,Chula Vista
11050,31,AW00011050,Alan,NULL,Zheng,Alan Zheng,1957-03-06,Married,Male,alan23@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,NULL,1 (11) 500 555-0135,2011-02-20,5-10 Miles,Hobart
11051,21,AW00011051,Daniel,NULL,Johnson,Daniel Johnson,1957-01-31,Single,Male,daniel18@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,NULL,1 (11) 500 555-0155,2013-12-29,1-2 Miles,Caloundra
11052,8,AW00011052,Heidi,NULL,Lopez,Heidi Lopez,1957-02-03,Single,Female,heidi19@adventure-works.com,40000.00,2,0,Partial College,Clerical,0,2,2514 Via Cordona,NULL,1 (11) 500 555-0168,2011-02-17,5-10 Miles,Matraville
11053,359,AW00011053,Ana,E,Price,Ana Price,1986-02-17,Married,Female,ana0@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,NULL,859-555-0113,2013-01-17,1-2 Miles,San Diego
11054,34,AW00011054,Deanna,NULL,Munoz,Deanna Munoz,1957-09-07,Married,Female,deanna33@adventure-works.com,40000.00,2,0,Partial College,Skilled Manual,1,2,5825 B Way,NULL,1 (11) 500 555-0192,2011-02-03,5-10 Miles,Geelong
11055,22,AW00011055,Gilbert,NULL,Raje,Gilbert Raje,1957-09-02,Married,Male,gilbert35@adventure-works.com,40000.00,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,NULL,1 (11) 500 555-0129,2011-01-31,5-10 Miles,East Brisbane
11056,10,AW00011056,Michele,L,Nath,Michele Nath,1958-10-01,Married,Female,michele19@adventure-works.com,40000.00,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,NULL,1 (11) 500 555-0178,2011-02-26,5-10 Miles,Newcastle
11057,5,AW00011057,Carl,J,Andersen,Carl Andersen,1970-04-07,Married,Male,carl12@adventure-works.com,70000.00,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,NULL,1 (11) 500 555-0181,2011-02-22,1-2 Miles,Lane Cove
11058,29,AW00011058,Marc,NULL,Diaz,Marc Diaz,1965-04-23,Married,Male,marc6@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,NULL,1 (11) 500 555-0149,2011-03-09,1-2 Miles,Findon
11059,27,AW00011059,Ashlee,J,Andersen,Ashlee Andersen,1959-09-29,Single,Female,ashlee19@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,NULL,1 (11) 500 555-0112,2013-02-18,5-10 Miles,Townsville
11060,40,AW00011060,Jon,L,Zhou,Jon Zhou,1959-09-14,Married,Male,jon28@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,NULL,1 (11) 500 555-0174,2011-03-19,5-10 Miles,Warrnambool
11061,23,AW00011061,Todd,M,Gao,Todd Gao,1976-02-20,Married,Male,todd14@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,NULL,1 (11) 500 555-0191,2011-03-13,5-10 Miles,Gold Coast
11062,547,AW00011062,Noah,D,Powell,Noah Powell,1981-03-01,Married,Male,noah5@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,NULL,767-555-0113,2013-01-07,5-10 Miles,Portland
11063,634,AW00011063,Angela,NULL,Murphy,Angela Murphy,1980-10-04,Single,Female,angela41@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,# 21,451-555-0162,2013-01-12,5-10 Miles,Redmond
11064,315,AW00011064,Chase,NULL,Reed,Chase Reed,1981-06-05,Married,Male,chase21@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,NULL,892-555-0184,2013-01-25,5-10 Miles,Downey
11065,331,AW00011065,Jessica,NULL,Henderson,Jessica Henderson,1979-04-08,Married,Female,jessica29@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,NULL,278-555-0186,2013-02-10,1-2 Miles,La Jolla
11066,543,AW00011066,Grace,T,Butler,Grace Butler,1979-05-27,Married,Female,grace62@adventure-works.com,70000.00,0,0,Partial College,Professional,1,2,4739 Garden Ave.,NULL,712-555-0141,2013-05-31,5-10 Miles,Lebanon
11067,632,AW00011067,Caleb,F,Carter,Caleb Carter,1982-03-25,Single,Male,caleb40@adventure-works.com,60000.00,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,NULL,944-555-0167,2013-08-18,5-10 Miles,Port Orchard
11068,40,AW00011068,Tiffany,NULL,Liang,Tiffany Liang,1966-09-19,Single,Female,tiffany17@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,2013-04-30,5-10 Miles,Warrnambool
11069,23,AW00011069,Carolyn,NULL,Navarro,Carolyn Navarro,1966-09-17,Single,Female,carolyn30@adventure-works.com,80000.00,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,NULL,1 (11) 500 555-0145,2011-04-17,1-2 Miles,Gold Coast
11070,39,AW00011070,Willie,T,Raji,Willie Raji,1960-10-02,Married,Male,willie40@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,NULL,1 (11) 500 555-0151,2011-04-28,5-10 Miles,Sunbury
11071,24,AW00011071,Linda,NULL,Serrano,Linda Serrano,1960-12-23,Single,Female,linda31@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,NULL,1 (11) 500 555-0130,2013-03-01,5-10 Miles,Hawthorne
11072,17,AW00011072,Casey,NULL,Luo,Casey Luo,1960-08-05,Single,Female,casey6@adventure-works.com,80000.00,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,NULL,1 (11) 500 555-0125,2011-03-31,1-2 Miles,St. Leonards
11073,16,AW00011073,Amy,NULL,Ye,Amy Ye,1962-02-11,Single,Female,amy16@adventure-works.com,70000.00,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,NULL,1 (11) 500 555-0185,2013-03-23,5-10 Miles,Springwood
11074,28,AW00011074,Levi,A,Arun,Levi Arun,1962-02-25,Single,Male,levi6@adventure-works.com,70000.00,2,0,High School,Skilled Manual,1,2,4661 Bluetail,NULL,1 (11) 500 555-0127,2013-03-23,5-10 Miles,Cloverdale
11075,32,AW00011075,Felicia,L,Jimenez,Felicia Jimenez,1963-05-16,Single,Female,felicia4@adventure-works.com,80000.00,2,0,High School,Professional,1,2,786 Eastgate Ave,NULL,1 (11) 500 555-0165,2011-04-28,5-10 Miles,Bendigo
11076,19,AW00011076,Blake,NULL,Anderson,Blake Anderson,1963-01-10,Single,Male,blake9@adventure-works.com,80000.00,2,0,High School,Professional,1,2,5436 Clear,# 101,1 (11) 500 555-0113,2011-04-21,5-10 Miles,Wollongong
11077,36,AW00011077,Leah,NULL,Ye,Leah Ye,1963-03-19,Single,Female,leah7@adventure-works.com,80000.00,2,0,High School,Professional,0,2,1291 Arguello Blvd.,NULL,1 (11) 500 555-0154,2011-04-15,1-2 Miles,Melton
11078,49,AW00011078,Gina,E,Martin,Gina Martin,1985-01-06,Single,Female,gina1@adventure-works.com,40000.00,0,0,High School,Professional,0,2,1349 Sol St.,NULL,196-555-0114,2013-02-15,1-2 Miles,Cliffside
11079,34,AW00011079,Donald,NULL,Gonzalez,Donald Gonzalez,1970-03-07,Single,Male,donald20@adventure-works.com,160000.00,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,NULL,1 (11) 500 555-0137,2013-03-15,0-1 Miles,Geelong
11080,30,AW00011080,Damien,NULL,Chander,Damien Chander,1965-01-13,Married,Male,damien32@adventure-works.com,170000.00,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,NULL,1 (11) 500 555-0111,2011-04-10,0-1 Miles,Perth
11081,311,AW00011081,Savannah,C,Baker,Savannah Baker,1972-01-21,Married,Female,savannah39@adventure-works.com,120000.00,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,NULL,478-555-0117,2013-02-12,2-5 Miles,Concord
11082,322,AW00011082,Angela,L,Butler,Angela Butler,1972-02-01,Single,Female,angela17@adventure-works.com,130000.00,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,NULL,579-555-0195,2013-01-22,1-2 Miles,Fremont
11083,336,AW00011083,Alyssa,F,Cox,Alyssa Cox,1977-03-11,Married,Female,alyssa37@adventure-works.com,130000.00,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,NULL,561-555-0140,2013-01-06,1-2 Miles,Lincoln Acres
11084,543,AW00011084,Lucas,NULL,Phillips,Lucas Phillips,1963-03-12,Single,Male,lucas7@adventure-works.com,80000.00,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,NULL,863-555-0172,2013-01-04,1-2 Miles,Lebanon
11085,345,AW00011085,Emily,NULL,Johnson,Emily Johnson,1963-01-16,Single,Female,emily1@adventure-works.com,60000.00,2,0,High School,Professional,0,2,7926 Stephanie Way,NULL,850-555-0184,2013-12-06,5-10 Miles,Newport Beach
11086,369,AW00011086,Ryan,NULL,Brown,Ryan Brown,1963-06-22,Married,Male,ryan43@adventure-works.com,70000.00,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,NULL,539-555-0198,2013-07-02,0-1 Miles,Santa Monica
11087,307,AW00011087,Tamara,L,Liang,Tamara Liang,1963-04-02,Married,Female,tamara6@adventure-works.com,70000.00,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,NULL,178-555-0152,2013-02-25,0-1 Miles,Chula Vista
11088,359,AW00011088,Hunter,NULL,Davis,Hunter Davis,1963-05-25,Married,Male,hunter64@adventure-works.com,80000.00,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,NULL,612-555-0141,2013-01-13,2-5 Miles,San Diego
11089,337,AW00011089,Abigail,M,Price,Abigail Price,1962-08-05,Single,Female,abigail25@adventure-works.com,80000.00,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,NULL,532-555-0117,2012-12-29,2-5 Miles,Long Beach
11090,338,AW00011090,Trevor,NULL,Bryant,Trevor Bryant,1968-12-13,Single,Male,trevor18@adventure-works.com,90000.00,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,NULL,853-555-0174,2011-08-07,2-5 Miles,Los Angeles
11091,50,AW00011091,Dalton,NULL,Perez,Dalton Perez,1962-10-02,Married,Male,dalton37@adventure-works.com,90000.00,2,0,Partial College,Professional,1,1,6083 San Jose,NULL,559-555-0115,2013-01-29,5-10 Miles,Haney
11092,22,AW00011092,Cheryl,A,Diaz,Cheryl Diaz,1972-11-02,Married,Female,cheryl4@adventure-works.com,90000.00,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,NULL,1 (11) 500 555-0192,2011-04-08,1-2 Miles,East Brisbane
11093,19,AW00011093,Aimee,A,He,Aimee He,1978-09-06,Married,Female,aimee13@adventure-works.com,100000.00,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,NULL,1 (11) 500 555-0161,2011-04-07,0-1 Miles,Wollongong
11094,33,AW00011094,Cedric,W,Ma,Cedric Ma,1967-09-29,Single,Male,cedric15@adventure-works.com,70000.00,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,NULL,1 (11) 500 555-0115,2013-04-07,0-1 Miles,Cranbourne
11095,13,AW00011095,Chad,NULL,Kumar,Chad Kumar,1968-02-29,Single,Male,chad9@adventure-works.com,70000.00,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,NULL,1 (11) 500 555-0151,2011-04-01,5-10 Miles,Port Macquarie
11096,12,AW00011096,Andrés,NULL,Anand,Andrés Anand,1968-02-07,Married,Male,andrés18@adventure-works.com,60000.00,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,NULL,1 (11) 500 555-0184,2011-04-11,5-10 Miles,North Sydney
11097,40,AW00011097,Edwin,R,Nara,Edwin Nara,1972-10-23,Married,Male,edwin39@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,719 William Way,NULL,1 (11) 500 555-0112,2011-04-04,5-10 Miles,Warrnambool
11098,14,AW00011098,Mallory,S,Rubio,Mallory Rubio,1966-10-29,Single,Female,mallory7@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,NULL,1 (11) 500 555-0157,2013-02-11,0-1 Miles,Rhodes
11099,13,AW00011099,Adam,NULL,Ross,Adam Ross,1966-09-05,Married,Male,adam2@adventure-works.com,60000.00,1,0,Bachelors,Professional,1,1,4378 Westminster Place,NULL,1 (11) 500 555-0186,2011-04-07,0-1 Miles,Port Macquarie
11100,28,AW00011100,Latasha,L,Navarro,Latasha Navarro,1966-03-15,Single,Female,latasha10@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,NULL,1 (11) 500 555-0123,2011-04-16,5-10 Miles,Cloverdale
11101,33,AW00011101,Abby,L,Sai,Abby Sai,1970-11-05,Single,Female,abby4@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,NULL,1 (11) 500 555-0174,2011-04-29,0-1 Miles,Cranbourne
11102,18,AW00011102,Julia,L,Nelson,Julia Nelson,1970-10-19,Single,Female,julia7@adventure-works.com,80000.00,5,5,Bachelors,Professional,1,4,2196 Coat Ct.,NULL,1 (11) 500 555-0124,2013-07-16,1-2 Miles,Sydney
11103,3,AW00011103,Cassie,NULL,Chande,Cassie Chande,1981-04-12,Single,Female,cassie13@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,NULL,1 (11) 500 555-0166,2011-04-15,5-10 Miles,Darlinghurst
11104,23,AW00011104,Edgar,A,Sara,Edgar Sara,1975-03-08,Married,Male,edgar11@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,6127 Lilly Lane,NULL,1 (11) 500 555-0125,2011-05-04,0-1 Miles,Gold Coast
11105,8,AW00011105,Candace,NULL,Fernandez,Candace Fernandez,1970-06-27,Single,Female,candace15@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,5029 Blue Ridge,NULL,1 (11) 500 555-0162,2011-05-14,5-10 Miles,Matraville
